Date,close,composite,position,daily_ret,portfolio,rf_signal,xgb_signal
2024-01-19,469.5093078613281,0.0070156792723109285,0.0,0.0,100490.62490876875,0.059598767409698994,-0.03805554
2024-01-22,470.501953125,-0.026366063916188003,0.0,0.0,100490.62490876875,-0.03471016826323664,-0.019213974
2024-01-23,471.8741760253906,0.032472087503525475,0.0,0.0,100490.62490876875,0.07881377079316099,-0.0072493553
2024-01-24,472.3900451660156,0.08004820132658831,0.0,0.0,100490.62490876875,0.143226519553657,0.025895357
2024-01-25,474.95928955078125,0.02791057512726317,0.0,0.0,100490.62490876875,0.068930493977926,-0.0072493553
2024-01-26,474.3559265136719,0.02311822070306564,0.0,-0.0,100490.62490876875,0.0944876071763342,-0.03805554
2024-01-29,478.11248779296875,-0.010673739685787529,0.0,0.0,100490.62490876875,-0.014668854783683849,-0.0072493553
2024-01-30,477.7427062988281,0.06149985272123344,0.0,-0.0,100490.62490876875,0.10853380034307814,0.02118504
2024-01-31,469.9472351074219,0.04020677116784286,0.0,-0.0,100490.62490876875,0.062398790310731866,0.02118504
2024-02-01,476.0979919433594,0.06389890219681284,0.0,0.0,100490.62490876875,0.08687809999927326,0.044202447
2024-02-02,481.1100769042969,0.02800460409317056,0.0,0.0,100490.62490876875,0.06913422340405867,-0.0072493553
2024-02-05,479.3582458496094,0.01471674996622843,0.0,-0.0,100490.62490876875,0.08401010641473822,-0.044677556
2024-02-06,480.7499694824219,0.0019836026285394103,0.0,0.0,100490.62490876875,0.042362484205198836,-0.032626867
2024-02-07,484.7596130371094,0.09538214557303895,0.0,0.0,100490.62490876875,0.1406947688727591,0.056542754
2024-02-08,484.97369384765625,0.006291054274774155,0.0,0.0,100490.62490876875,0.0657544324165873,-0.044677556
2024-02-09,487.7765808105469,0.05074055290057397,0.0,0.0,100490.62490876875,0.07972661463062591,0.025895357
2024-02-12,487.5624694824219,0.03969889183659931,0.0,-0.0,100490.62490876875,0.10499403360428833,-0.016268373
2024-02-13,480.84722900390625,0.03639897740560987,0.0,-0.0,100490.62490876875,0.0486532010582037,0.025895357
2024-02-14,485.2170104980469,-0.03602045831074058,0.0,0.0,100490.62490876875,-0.05958762887594865,-0.015820026
2024-02-15,488.5648498535156,-0.018483716040904336,0.0,0.0,100490.62490876875,0.0120757633992839,-0.044677556
2024-02-16,486.1319274902344,-0.03315097851655423,0.0,-0.0,100490.62490876875,-0.049410816564030124,-0.019213974
2024-02-20,483.4555358886719,-0.030714875347583576,0.0,-0.0,100490.62490876875,-0.04413259303126038,-0.019213974
2024-02-21,483.8934020996094,0.020450837007841168,0.0,0.0,100490.62490876875,0.048134708684657856,-0.0032781959
2024-02-22,493.9078369140625,0.06738545559742351,0.0,0.0,100490.62490876875,0.12905453115317206,0.014526248
2024-02-23,494.2484436035156,-0.026948314658732594,0.0,0.0,100490.62490876875,-0.006264200272677323,-0.044677556
2024-02-26,492.4382629394531,-0.03606930481513637,0.0,-0.0,100490.62490876875,-0.05573385687762478,-0.019213974
2024-02-27,493.35308837890625,0.06304968626631288,0.0,0.0,100490.62490876875,0.06827818024047355,0.05856812
2024-02-28,492.7010803222656,0.0010336070123867689,0.0,-0.0,100490.62490876875,-0.01966578140480263,0.01877594
2024-02-29,494.4722900390625,0.02719538259985796,0.0,0.0,100490.62490876875,-0.03013175224218806,0.07633293
2024-03-01,499.114501953125,-0.07139823348818317,0.0,0.0,100490.62490876875,-0.10257235773648687,-0.044677556
2024-03-04,498.5792236328125,-0.013413725755470927,0.0,-0.0,100490.62490876875,-0.00664676891501631,-0.019213974
2024-03-05,493.59637451171875,0.016777605472879518,0.0,-0.0,100490.62490876875,0.014446215259598327,0.01877594
2024-03-06,496.09759521484375,-0.047744508569498904,0.0,0.0,100490.62490876875,-0.013553064367138767,-0.07705146
2024-03-07,501.0220947265625,-0.002393992425473473,0.0,0.0,100490.62490876875,0.01722931996664484,-0.019213974
2024-03-08,498.01483154296875,-0.034842537576359904,0.0,-0.0,100490.62490876875,-0.031094035762421146,-0.03805554
2024-03-11,497.58660888671875,-0.05604816444916806,0.0,-0.0,100490.62490876875,-0.06931387481862084,-0.044677556
2024-03-12,502.93927001953125,-0.007234851764886947,0.0,0.0,100490.62490876875,0.028722616829103598,-0.03805554
2024-03-13,502.1509704589844,-0.044736308271330474,0.0,-0.0,100490.62490876875,-0.04480485309997273,-0.044677556
2024-03-14,501.1583557128906,-0.020350017857967428,0.0,-0.0,100490.62490876875,-0.040219161785549906,-0.003319323
2024-03-15,497.7170715332031,-0.025721615017438845,0.0,-0.0,100490.62490876875,-0.033313862315946796,-0.019213974
2024-03-18,500.6750183105469,0.012048080233321096,0.0,0.0,100490.62490876875,0.04846992272115608,-0.019170642
2024-03-19,503.4573974609375,0.040077750758536104,0.0,0.0,100490.62490876875,0.11147701796404136,-0.021121621
2024-03-20,508.1140441894531,-0.017294583562985737,0.0,0.0,100490.62490876875,-0.012829706399255958,-0.021121621
2024-03-21,509.7932434082031,-0.01131061576365674,0.0,0.0,100490.62490876875,0.00013555716595686773,-0.021121621
2024-03-22,508.8266906738281,-0.031145270847648333,0.0,-0.0,100490.62490876875,-0.023083291183546073,-0.03805554
2024-03-25,507.4208984375,-0.02908646428607236,0.0,-0.0,100490.62490876875,-0.038378781299276965,-0.021121621
2024-03-26,506.4837341308594,0.031898609136252296,0.0,-0.0,100490.62490876875,0.047208389863572675,0.01877594
2024-03-27,510.7400817871094,-0.003957605647161761,0.0,0.0,100490.62490876875,-0.004750250401181821,-0.0032781959
2024-03-28,510.642578125,-0.03733656594834115,0.0,-0.0,100490.62490876875,-0.056254001567526024,-0.021121621
2024-04-01,509.75408935546875,-0.06511624539681223,0.0,-0.0,100490.62490876875,-0.1298430769017062,-0.009636104
2024-04-02,506.5130310058594,-0.029323856925847325,0.0,-0.0,100490.62490876875,-0.05229290188128227,-0.009636104
2024-04-03,507.06939697265625,0.004290195609452415,0.0,0.0,100490.62490876875,-0.020051181321477374,0.025154233
2024-04-04,500.8800964355469,0.04746363076025752,0.0,-0.0,100490.62490876875,0.07349126150526702,0.025154233
2024-04-05,506.1127624511719,-0.04354761056313292,0.0,0.0,100490.62490876875,-0.038423624566399195,-0.0479396
2024-04-08,506.3958435058594,0.03865424442671134,0.0,0.0,100490.62490876875,0.07805091048110047,0.0048856735
2024-04-09,506.98162841796875,0.0376615963362846,0.0,0.0,100490.62490876875,0.09451048151952546,-0.01106602
2024-04-10,501.90509033203125,0.03821786691837875,0.0,-0.0,100490.62490876875,0.05733528046345343,0.021831512
2024-04-11,505.6929931640625,-0.05832016014389314,0.0,0.0,100490.62490876875,-0.06906270991318347,-0.04911226
2024-04-12,498.7128601074219,0.035159458318043145,0.0,-0.0,100490.62490876875,0.05070872849605962,0.021831512
2024-04-15,492.46490478515625,-0.043327932234142004,0.0,-0.0,100490.62490876875,-0.04655662191939669,-0.040560484
2024-04-16,491.5667724609375,-0.008414881681242409,0.0,-0.0,100490.62490876875,0.011143220081444472,-0.025178969
2024-04-17,488.65753173828125,0.02916171237161034,0.0,-0.0,100490.62490876875,0.08484976009576445,-0.0185709
2024-04-18,487.6520690917969,0.02012783061372068,0.0,-0.0,100490.62490876875,0.047313933607255,-0.0031745434
